DATE,Q_FLAG,SSTP
07/25/1998 23:20,5,14.90
07/26/1998 00:20,5,14.90
07/26/1998 01:20,5,15.00
07/26/1998 02:20,5,15.00
07/26/1998 03:20,5,15.00
07/26/1998 04:20,5,15.00
07/26/1998 05:20,5,14.90
07/26/1998 06:20,5,14.80
07/26/1998 07:20,5,14.80
07/26/1998 08:20,5,14.70
07/26/1998 09:20,5,14.80
07/26/1998 10:20,5,14.80
07/26/1998 11:20,5,14.80
07/26/1998 12:20,5,14.90
07/26/1998 13:20,5,15.00
07/26/1998 14:20,5,15.20
07/26/1998 15:20,5,15.30
07/26/1998 16:20,5,15.50
07/26/1998 17:20,5,15.70
07/26/1998 18:20,5,15.70
07/26/1998 19:20,5,15.70
07/26/1998 20:20,5,15.60
07/26/1998 21:20,5,15.60
07/26/1998 22:20,5,15.60
07/26/1998 23:20,5,15.60
07/27/1998 00:20,5,15.50
07/27/1998 01:20,5,15.60
07/27/1998 02:20,5,15.70
07/27/1998 03:20,5,15.60
07/27/1998 04:20,5,15.50
07/27/1998 05:20,5,15.40
07/27/1998 06:20,5,15.30
07/27/1998 07:20,5,15.30
07/27/1998 08:20,5,15.30
07/27/1998 09:20,5,15.20
07/27/1998 10:20,5,15.20
07/27/1998 11:20,5,15.30
07/27/1998 12:20,5,15.40
07/27/1998 13:20,5,15.50
07/27/1998 14:20,5,15.60
07/27/1998 15:20,5,15.80
07/27/1998 16:20,5,15.90
07/27/1998 17:20,5,15.80
07/27/1998 18:20,5,15.90
07/27/1998 19:20,5,15.90
07/27/1998 20:20,5,15.90
07/27/1998 21:20,5,15.90
07/27/1998 22:20,5,15.70
07/27/1998 23:20,5,15.70
07/28/1998 00:20,5,15.60
07/28/1998 01:20,5,15.60
07/28/1998 02:20,5,15.60
07/28/1998 03:20,5,15.60
07/28/1998 04:20,5,15.60
07/28/1998 05:20,5,15.50
07/28/1998 06:20,5,15.50
07/28/1998 07:20,5,15.40
07/28/1998 08:20,5,15.50
07/28/1998 09:20,5,15.50
07/28/1998 10:20,5,15.60
07/28/1998 11:20,5,15.80
07/28/1998 12:20,5,15.90
07/28/1998 13:20,5,15.90
07/28/1998 14:20,5,16.00
07/28/1998 15:20,5,16.10
07/28/1998 16:20,5,16.10
07/28/1998 17:20,5,16.20
07/28/1998 18:20,5,16.30
07/28/1998 19:20,5,16.30
07/28/1998 20:20,5,16.30
07/28/1998 21:20,5,16.20
07/28/1998 22:20,5,16.10
07/28/1998 23:20,5,16.10
07/29/1998 00:20,5,16.00
07/29/1998 01:20,5,16.00
07/29/1998 02:20,5,15.90
07/29/1998 03:20,5,16.00
07/29/1998 04:20,5,16.00
07/29/1998 05:20,5,15.80
07/29/1998 06:20,5,15.70
07/29/1998 07:20,5,15.70
07/29/1998 08:20,5,15.70
07/29/1998 09:20,5,15.60
07/29/1998 10:20,5,15.60
07/29/1998 11:20,5,15.70
07/29/1998 12:20,5,15.70
07/29/1998 13:20,5,15.70
07/29/1998 14:20,5,15.80
07/29/1998 15:20,5,15.90
07/29/1998 16:20,5,16.00
07/29/1998 17:20,5,15.90
07/29/1998 18:20,5,16.00
07/29/1998 19:20,5,16.00
07/29/1998 20:20,5,15.90
07/29/1998 21:20,5,15.90
07/29/1998 22:20,5,15.90
07/30/1998 04:20,5,15.80
07/30/1998 05:20,5,15.80
07/30/1998 06:20,5,15.70
07/30/1998 07:20,5,15.70
07/30/1998 09:20,5,15.70
07/30/1998 14:20,5,15.80
07/30/1998 17:20,5,15.60
07/30/1998 18:20,5,15.60
07/30/1998 19:20,5,15.60
07/30/1998 21:20,5,15.50
07/30/1998 22:20,5,15.50
07/30/1998 23:20,5,15.40
07/31/1998 00:20,5,15.50
07/31/1998 01:20,5,15.60
07/31/1998 02:20,5,15.70
07/31/1998 03:20,5,15.70
07/31/1998 04:20,5,15.70
07/31/1998 05:20,5,15.70
07/31/1998 06:20,5,15.70
07/31/1998 07:20,5,15.70
07/31/1998 08:20,5,15.70
07/31/1998 09:20,5,15.60
07/31/1998 10:20,5,15.60
07/31/1998 11:20,5,15.60
07/31/1998 12:20,5,15.60
07/31/1998 13:20,5,15.70
07/31/1998 14:20,5,15.80
07/31/1998 15:20,5,16.10
07/31/1998 16:20,5,16.20
07/31/1998 17:20,5,16.00
07/31/1998 18:20,5,15.90
07/31/1998 19:20,5,15.90
07/31/1998 20:20,5,15.70
07/31/1998 21:20,5,15.60
07/31/1998 22:20,5,15.60
07/31/1998 23:20,5,15.50
08/01/1998 00:20,5,15.50
08/01/1998 01:20,5,15.50
08/01/1998 02:20,5,15.50
08/01/1998 03:20,5,15.60
08/01/1998 04:20,5,15.50
08/01/1998 05:20,5,15.40
08/01/1998 06:20,5,15.40
08/01/1998 07:20,5,15.30
08/01/1998 08:20,5,15.40
08/01/1998 09:20,5,15.40
08/01/1998 10:20,5,15.40
08/01/1998 11:20,5,15.40
08/01/1998 12:20,5,15.50
08/01/1998 13:20,5,15.60
08/01/1998 14:20,5,15.90
08/01/1998 15:20,5,16.10
08/01/1998 16:20,5,16.00
08/01/1998 17:20,5,16.10
08/01/1998 18:20,5,16.00
08/01/1998 19:20,5,15.90
08/01/1998 20:20,5,15.80
08/01/1998 21:20,5,15.70
08/01/1998 22:20,5,15.60
08/01/1998 23:20,5,15.50
08/02/1998 00:20,5,15.40
08/02/1998 01:20,5,15.40
08/02/1998 02:20,5,15.40
08/02/1998 03:20,5,15.40
08/02/1998 04:20,5,15.40
08/02/1998 05:20,5,15.30
08/02/1998 06:20,5,15.30
08/02/1998 07:20,5,15.30
08/02/1998 08:20,5,15.30
08/02/1998 09:20,5,15.30
08/02/1998 10:20,5,15.30
08/02/1998 11:20,5,15.40
08/02/1998 12:20,5,15.60
08/02/1998 13:20,5,15.70
08/02/1998 14:20,5,15.90
08/02/1998 15:20,5,15.90
08/02/1998 16:20,5,15.90
08/02/1998 17:20,5,15.90
08/02/1998 18:20,5,15.90
08/02/1998 19:20,5,15.90
08/02/1998 20:20,5,16.00
08/02/1998 21:20,5,15.90
08/02/1998 22:20,5,15.90
08/02/1998 23:20,5,15.90
08/03/1998 00:20,5,15.90
08/03/1998 01:20,5,15.90
08/03/1998 02:20,5,15.80
08/03/1998 03:20,5,15.80
08/03/1998 04:20,5,15.70
08/03/1998 05:20,5,15.70
08/03/1998 06:20,5,15.70
08/03/1998 07:20,5,15.60
08/03/1998 08:20,5,15.60
08/03/1998 09:20,5,15.60
08/03/1998 10:20,5,15.60
08/03/1998 11:20,5,15.60
08/03/1998 12:20,5,15.60
08/03/1998 13:20,5,15.60
08/03/1998 14:20,5,15.70
08/03/1998 15:20,5,15.80
08/03/1998 16:20,5,15.80
08/03/1998 17:20,5,15.90
08/03/1998 18:20,5,15.90
08/03/1998 19:20,5,15.90
08/03/1998 20:20,5,15.80
08/03/1998 21:20,5,15.80
08/03/1998 22:20,5,15.90
08/03/1998 23:20,5,16.00
08/04/1998 00:20,5,16.10
08/04/1998 01:20,5,16.10
08/04/1998 02:20,5,16.10
08/04/1998 03:20,5,16.10
08/04/1998 04:20,5,16.10
08/04/1998 05:20,5,16.00
08/04/1998 06:20,5,16.10
08/04/1998 07:20,5,16.00
08/04/1998 08:20,5,16.00
08/04/1998 09:20,5,16.00
08/04/1998 10:20,5,16.00
08/04/1998 11:20,5,16.00
08/04/1998 12:20,5,16.10
08/04/1998 13:20,5,16.20
08/04/1998 14:20,5,16.30
08/04/1998 15:20,5,16.40
08/04/1998 16:20,5,16.50
08/04/1998 17:20,5,16.50
08/04/1998 18:20,5,16.60
08/04/1998 19:20,5,16.50
08/04/1998 20:20,5,16.60
08/04/1998 21:20,5,16.60
08/04/1998 22:20,5,16.50
08/04/1998 23:20,5,16.50
08/05/1998 00:20,5,16.60
08/05/1998 01:20,5,16.60
08/05/1998 02:20,5,16.60
08/05/1998 03:20,5,16.50
08/05/1998 04:20,5,16.40
08/05/1998 05:20,5,16.40
08/05/1998 06:20,5,16.40
08/05/1998 07:20,5,16.40
08/05/1998 08:20,5,16.40
08/05/1998 09:20,5,16.40
08/05/1998 10:20,5,16.40
08/05/1998 11:20,5,16.50
08/05/1998 12:20,5,16.70
08/05/1998 13:20,5,16.80
08/05/1998 14:20,5,16.90
08/05/1998 15:20,5,17.00
08/05/1998 16:20,5,17.10
08/05/1998 17:20,5,17.10
08/05/1998 18:20,5,17.00
08/05/1998 19:20,5,17.00
08/05/1998 20:20,5,16.90
08/05/1998 21:20,5,16.90
08/05/1998 22:20,5,16.90
08/05/1998 23:20,5,16.80
08/06/1998 00:20,5,16.80
08/06/1998 01:20,5,16.90
08/06/1998 02:20,5,16.90
08/06/1998 03:20,5,16.90
08/06/1998 04:20,5,16.90
08/06/1998 05:20,5,16.90
08/06/1998 06:20,5,16.90
08/06/1998 07:20,5,16.90
08/06/1998 08:20,5,16.90
08/06/1998 09:20,5,16.90
08/06/1998 10:20,5,16.90
08/06/1998 11:20,5,16.90
08/06/1998 12:20,5,17.10
08/06/1998 13:20,5,17.30
08/06/1998 14:20,5,17.50
08/06/1998 15:20,5,17.60
08/06/1998 16:20,5,17.60
08/06/1998 17:20,5,17.70
08/06/1998 18:20,5,17.70
08/06/1998 19:20,5,17.70
08/06/1998 20:20,5,17.70
08/06/1998 21:20,5,17.60
08/06/1998 22:20,5,17.40
08/06/1998 23:20,5,17.30
08/07/1998 00:20,5,17.40
08/07/1998 01:20,5,17.40
08/07/1998 02:20,5,17.40
08/07/1998 03:20,5,17.30
08/07/1998 04:20,5,17.30
08/07/1998 05:20,5,17.30
08/07/1998 06:20,5,17.20
08/07/1998 07:20,5,17.20
08/07/1998 08:20,5,17.20
